A-0.6	Accessible Canada Act
SI-2009-73	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Salt River First Nation) Order
SI-2009-87	(LongTitle) Agreement on Social Security Between Canada and the Republic of Poland—in Force on October 1, 2009
SI-2009-94	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Saoyú–Æehdacho (Grizzly Bear Mountain and Scented Grass Hills) National Historic Site) Order
SI-2009-95	(LongTitle) Certain Fees Relating to Export Certificates Remission Order
SI-2010-10	(LongTitle) Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games (GST/HST) Remission Order
SI-2010-13	(LongTitle) Proclamation Giving Notice that the Convention on Social Security Between the Government of Canada and the Government of the Kingdom of Morocco comes into Force on March 1, 2010
SI-2010-14	(LongTitle) Order Giving Notice of Decisions Not to Add Certain Species to the List of Endangered Species
SI-2010-18	(LongTitle) Withdrawal from Disposal, Setting Apart and Appropriation of Certain Tracts of Territorial Lands in the Northwest Territories (Reindeer Grazing Reserve) Order
SI-2010-42	(LongTitle) Order Acknowledging Receipt of the Assessments Done Pursuant to Subsection 23(1) of the Act
SI-2010-45	(LongTitle) Statistics Canada Census-Related Term Employment Exclusion Approval Order
SI-2010-46	(LongTitle) Student Employment Programs Participants Exclusion Approval Order
SI-2010-54	(LongTitle) Reservation to the Crown Waiver Order (Great Slave Lake, N.W.T.)
SI-2010-76	(LongTitle) Order Acknowledging Receipt of the Assessments Done Pursuant to Subsection 23(1) of the Act
SI-2010-81	(LongTitle) Statistics Canada Census and Survey Related Term Employment Exclusion Approval Order
SI-2010-83	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Dehcho First Nations) Order
SI-2010-84	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Edéhzhíe (Horn Plateau)) Order
SI-2010-90	(LongTitle) Order Accepting the Recommendation of the Minister of Public Safety and Emergency Preparedness that Each Entity Listed as of July 23, 2010, in the Regulations Establishing a List of Entities Remain a Listed Entity
SI-2011-100	(LongTitle) Quebec Domestic Help Charities Remission Order
SI-2011-109	(LongTitle) Prince Edward Island – Criminal Appeal Rules of Court
SI-2011-111	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Edéhzhíe (Horn Plateau)) Order
SI-2011-11	(LongTitle) Order Acknowledging Receipt of the Assessment Done Pursuant to Subsection 23(1) of the Act
SI-2011-14	(LongTitle) Withdrawal from Disposal of the Subsurface Rights in Certain Tracts of Territorial Lands in the Northwest Territories (Nành’ Geenjit Gwitr’it Tigwaa’in/Working for the Land: Gwich’in Land Use Plan) Order
SI-2011-20	(LongTitle) Court of Queen’s Bench for Saskatchewan Summary Conviction Appeal Rules
SI-2011-48	(LongTitle) Order Designating the Minister of Foreign Affairs for the Purposes of the National Capital Act
SI-2011-56	(LongTitle) Order Giving Notice of Decisions Not to Add Certain Species to the List of Endangered Species
SI-2011-58	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Tuktut Nogait National Park) Order
SI-2011-59	(LongTitle) Order Transferring the Internal E-staffing Unit from Human Resources and Skills Development to the Public Service Commission
SI-2011-60	(LongTitle) Order Designating the Minister of Industry for the Purposes of the Canada Not-for-profit Corporations Act
SI-2011-66	(LongTitle) Certain Marine Carriers Remission Order, 2011
SI-2011-67	(LongTitle) Order Transfering to Shared Services Canada the Control and Supervision of Certain Portions of the Federal Public Administration in the Department of Public Works and Government Services
SI-2011-68	(LongTitle) Order Designating the President of Shared Services Canada as Deputy Head in Respect of that Entity
SI-2011-69	(LongTitle) Order Designating Shared Services Canada as a Department and the President as Deputy Head for Purposes of the Act
SI-2011-77	(LongTitle) Certain Fees Relating to Export Certificates Remission Order
SI-2011-78	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in Nunavut (Eeyou Marine Region) Order
SI-2011-89	(LongTitle) Proclamation Giving Notice that the Agreement on Social Security between Canada and the Republic of Macedonia Comes into Force on November 1, 2011
SI-2011-90	(LongTitle) Proclamation Giving Notice that the Agreement on Social Security between Canada and Romania and the Administrative Agreement between the Government of Canada and the Government of Romania for the Application of the Agreement on Social Security between Canada and Romania Comes into Force on November 1, 2011
SI-2011-91	(LongTitle) Order Acknowledging Receipt of the Assessments Done Pursuant to Subsection 23(1) of the Act
SI-2011-92	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Dehcho Region) Order
SI-2011-93	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Ts’ude niline Tu’eyeta (Ramparts River and Wetlands)) Order
SI-2011-94	(LongTitle) Order Transferring from the Minister of Indian Affairs and Northern Development to the Minister of Health the Control and Supervision of the Canadian Northern Economic Development Agency and Ordering the Minister of Health to Preside over the Agency
SI-2011-95	(LongTitle) Order Transferring to Shared Services Canada the Control and Supervision of Certain Portions of the Federal Public Administration in each Department and Portion of the Federal Public Administration known as the Email, Data Centre and Network Services Unit and the Email, Data Centre and Network Services Support Unit
SI-2011-96	(LongTitle) Order Transferring to the Communications Security Establishment the Control and Supervision of Certain Portions of the Federal Public Administration in the Department of National Defence known as the Communications Security Establishment and the Communications Security Establishment Internal Services Unit
SI-2011-9	(LongTitle) The Court of Appeal Criminal Appeal Rules (Saskatchewan)
SI-2012-103	(LongTitle) Order Accepting the Recommendation of the Minister of Public Safety and Emergency Preparedness Concerning the Two-year Review of the List of Entities
SI-2012-12	(LongTitle) Order transferring to the Department of Indian Affairs and Northern Development the control and supervision of the portion of the federal public administration in the Department of Canadian Heritage known as the Urban Aboriginal Youth and Community Programs Unit
SI-2012-16	(LongTitle) Proclamation Giving Notice that the Convention between the Government of Canada and the Government of the Italian Republic for the Avoidance of Double Taxation with Respect to Taxes on Income and the Prevention of Fiscal Evasion Came into Force on November 25, 2011
SI-2012-17	(LongTitle) Proclamation Giving Notice that the Protocol Amending the Convention between the Government of Canada and the Swiss Federal Council for the Avoidance of Double Taxation with respect to Taxes on Income and on Capital, Came into Force on December 16, 2011
SI-2012-20	(LongTitle) Right of Permanent Residence Fees Remission Order (2012)
SI-2012-23	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Thaidene Nene (East Arm of Great Slave Lake) National Park Reserve) Order
SI-2012-24	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (South Slave / North Slave Regions) Order
SI-2012-25	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Nááts’ihch’oh National Park Reserve) Order
SI-2012-26	(LongTitle) Order Respecting the Interim Federal Health Program, 2012
SI-2012-27	(LongTitle) Appointment or Deployment of Alternates Exclusion Approval Order
SI-2012-30	(LongTitle) Criminal Rules of the Ontario Court of Justice
SI-2012-39	(LongTitle) Court of Queen’s Bench for Alberta Summary Conviction Appeal Rules
SI-2012-43	(LongTitle) Investors in the Norbourg and Evolution Funds Remission Order
SI-2012-45	List of Wildlife Species at Risk (Decisions Not to Add Certain Species) Order
SI-2012-46	Order Acknowledging Receipt of the Assessments Done Pursuant to Subsection 23(1) of the Act
SI-2012-50	(LongTitle) Order Transferring to the Public Health Agency of Canada the Control and Supervision of Certain Portions of the Federal Public Administration in the Department of Health known as the International Affairs Directorate and the Emergency Preparedness and Response Unit
SI-2012-58	(LongTitle) Order Designating the Minister of Public Works and Government Services for the purposes of the Act
SI-2012-59	(LongTitle) Order Transferring to Shared Services Canada the Control and Supervision of the Portion of the Federal Public Administration in the Acquisitions Branch of the Department of Public Works and Government Services known as the Information Technology Shared Services Procurement Directorate
SI-2012-60	(LongTitle) Order Transferring to the Department of Health and to the Public Health Agency of Canada the Control and Supervision of Certain Portions of the Federal Public Administration
SI-2012-64	(LongTitle) Supreme Court of Yukon Summary Conviction Appeal Rules, 2009
SI-2012-72	(LongTitle) Personal Health Information Custodians in Newfoundland and Labrador Exemption Order
SI-2012-76	(LongTitle) Reservation to the Crown Waiver Order (Hecla and Griper Bay, N.W.T.)
SI-2012-78	(LongTitle) Order Designating the Minister of Transport as the appropriate Minister for the Windsor-Detroit Bridge Authority
SI-2012-7	(LongTitle) Criminal Proceedings Rules for the Superior Court of Justice (Ontario)
SI-2012-80	(LongTitle) Reservation to the Crown Waiver Order (Dolomite Lake, N.W.T.)
SI-2012-81	(LongTitle) Reservation to the Crown Waiver Order (Mackenzie River, N.W.T.)
SI-2012-82	(LongTitle) Reservation to the Crown Waiver Order (Great Slave Lake, N.W.T.)
SI-2012-83	(LongTitle) Reservation to the Crown Waiver Order (Yellowknife Bay, N.W.T.)
